Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Jason Smith,-0.10916221684506112,0.07888236685624352,0.008614190073357921,0.1364871777283719,0.08194998928003505,0.10500101001815924,1.0709636319682643,1.0463021035607085,-0.025231221759868964,-1.0212163494040547,-1.0760914777729609,-0.1141819340441456,1.0871307470547569,1.0956881561292242,0.17319613636898487,1.0595633477589506,1.0802155174903953,1.1834928351234026,-0.0912502817850866,-1.0266286327782566,1.2199160903709807,1.4528496869206837,2.098016984875749,0.5421317020745035,-0.5618744189632038,0.42071544405882993,-0.623496119724267,-0.38282592910325713,1.3562454269182924,-0.06736747098228836
Rodney Stuckey,-0.867389058864381,-0.24169270460043082,0.6874657891877786,0.7714724459881019,2.297653274115888,-0.06478785724524722,1.938615236396076,2.0901709872154965,-0.03055823375101379,0.9821862854355075,1.2684939734991392,-0.08002586102388677,3.016022309447007,2.775890366029789,0.47068169273560667,-0.5634428541130424,-0.09003030415607341,-0.2711893001180197,1.7631155908347025,2.3445786819711314,-0.613534704900155,1.9947290451473207,0.44016225282875604,2.8614211504284617,-1.9405645850898952,0.013659592339572348,1.434110122555153,1.2469187405077529,-0.49735046326317667,0.7615911662929437
Al Thornton,0.8927803958233259,0.04973917854200039,-0.7616212781526188,-0.0386811721363812,-0.30210524675817907,0.060319729159368216,0.27005445865028505,0.2031772359933796,-0.029559419002674173,-0.5203656906941642,-0.6454533336617587,0.3791835651373701,0.20305544762497604,0.25558705117894165,-0.0972452785097616,0.5185612804682862,-0.4342202516991525,-0.043895216486547504,-0.9522058655014173,-0.4647607469866918,-0.2206523916277688,-0.44372806687254623,0.2559561714902011,-0.03171310988936217,0.38772064941871626,1.2929779834572388,0.11724212749632411,0.43204640570224784,0.7383801301911361,2.1253618276167123
Alando Tucker,1.1635756965445117,1.7109009124538583,0.5569174047426978,0.311655527593125,0.9091458822854203,-0.046915344901730834,1.1377060630780964,1.327343726083151,-0.03655112224105172,-0.14472769666174615,-0.023420458834466952,-0.1179770532686188,0.9263897835220697,1.483427127644739,-0.4488191178521322,0.7349621073845516,-0.22770628317330516,0.18339886714492473,-0.3561596921593421,-0.4647607469866918,-0.7444954759909503,-0.44372806687254623,-1.033486397879682,0.9725153110474032,0.35471333420757983,-0.5678487672593668,-0.8704088687977974,-1.197698263908762,-0.18841781489959844,-0.281292280601703
Darius Washington,-0.4882756378547211,0.16631193179897288,0.4133141818531087,0.02700695906290119,0.4069198043892933,-0.13180977853343412,0.0030847342109585935,0.28347484242836335,-0.052865096463932754,0.481335626725617,0.407217685276735,0.14388617322003197,0.7656488199893824,0.7079491846137094,0.1894226212617103,-0.6716432675711753,-0.9849241677680792,-0.9530715510124365,0.9021600071183719,0.8462643198602924,-0.8754562470817459,1.8592592055906614,-0.29666207252546295,0.47040110057902046,-0.34097930947329186,-0.6841504391791546,-0.21197487126838302,-0.38282592910325713,-0.8062831116267548,-0.4952170902211179
Mario West,0.32411026430883594,-1.3491338605416694,-1.8190631921577736,-0.7612506153284879,-2.0451251641623833,-0.06925598533112647,-1.6654760435348321,-1.924709334533688,-0.037882875238837925,-1.0212163494040547,-0.9803941124149158,-0.19008431853360944,-1.5650951512345863,-1.6831078063986342,-0.22164832935398526,-0.996244507945574,-1.5356280838370056,-1.3622009015490866,-0.8859785129078533,0.28439643406872767,-0.7444954759909503,-1.5274867833258206,-0.29666207252546295,-2.207541355252354,0.7228718500240996,-0.8586029470588364,-0.7058003694154439,-0.654450040705092,-0.49735046326317667,-1.0300291142696547
Julian Wright,-0.5424346979989583,-0.4456950228001327,-0.48746967081794884,-0.0386811721363812,-0.3907333781516134,0.12063945831873643,0.6037666141994434,0.40392125208083884,-0.02223477751485004,-1.1464290140815272,-1.1239401604519832,-0.5695962409809295,-1.0025017788701802,-0.8430067014483513,-0.6922163912430046,0.5185612804682862,0.32299763289562156,0.45615176750269126,-0.0912502817850866,0.28439643406872767,0.6960730060077991,0.23362113091075046,-0.11245599118690798,-0.4860069193607562,0.27092553405623415,-0.10264207958021535,-0.2942791209595599,0.1604222941004129,-0.18841781489959844,-0.22781107819684943
Nick Young,0.134553553804006,0.661746133141106,0.4263690202976169,0.2678634401269367,0.76143232996303,-0.037979088729972584,0.8707363386387696,1.0061533003432162,-0.037882875238837925,0.10569763269319907,0.07227690652357803,0.11352521942424634,0.20305544762497604,0.0617175654211839,0.24351090423745972,0.08575962663575463,-0.2965442726819211,-0.08935403321284219,-0.48861439734647005,-0.4647607469866918,-0.613534704900155,0.09815129135409105,0.624368334167311,0.733413306062459,0.1922157823989091,-0.451547095339579,-0.21197487126838302,0.1604222941004129,-0.49735046326317667,0.7348505650905169
Thaddeus Young,-1.625615900883701,-1.0577019773992382,0.2305464436299957,0.2459673963938426,0.76143232996303,-0.05138347298760996,0.6705090453092749,0.885706890690741,-0.04454164022776896,0.481335626725617,0.21582295456064526,0.3070762998723795,-0.8417608153374927,-0.9722530252868564,0.12992550998838595,0.7349621073845516,-0.8472481887508475,-0.18027166666543076,-0.0912502817850866,0.4716857293325827,-0.4825739338093596,0.23362113091075046,-0.29666207252546295,0.47040110057902046,0.8117376986694663,1.118525475577557,-0.21197487126838302,1.5185428521095876,-0.49735046326317667,0.9220347735075046
Joe Alexander,-0.24455986720565398,0.07888236685624352,-0.33081160948385196,-0.01678512840328713,0.2001208311379473,-0.1206394583187363,0.27005445865028505,0.4842188585158226,-0.04787102272223448,-0.3951530260166915,-0.21481518955055667,-0.16351848396229723,-0.1987969612067427,-0.3260214060943313,0.24891973253503466,-0.13064120028051102,-0.2965442726819211,-0.22573048339172547,-0.0912502817850866,-0.8393393375144017,0.5651122349170036,-0.3082582273158868,0.07175009015164698,-0.07953351088635126,0.2226840733630349,-0.2189437515000033,-0.2942791209595599,-0.38282592910325713,0.7383801301911361,-0.013886268577434625
